LC,OWNER,Delivery Date,Type Armada,Nopol,Jalur,Area,Fuel's Type,Qty Fuel,Type Delivery,DO,CBM,DP,UJP,Total Cost,Pulau,Destination,Jenis Armada,Type,Key,Shipment Area,Cost Ext,Month,Kategori,Gap Cost Int - Ext,% Saving
250203C282,HCI,3-Feb-2025,CDELC,BK8805MH,Medan,Sumatera Utara,,,Customer,1,8.12,8,32000,145916.67,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250203C185,HCI,3-Feb-2025,CDELC,BK8172LM,Medan,Sumatera Utara,,,Customer,104,8.68,12,70000,297833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250203L050,HCI,3-Feb-2025,CDELC,BK8047MQ,Medan,Sumatera Utara,,,Store,258,7.9,10,50000,277833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250203L082,HCI,3-Feb-2025,CDELC,BK8022LM,Medan,Sumatera Utara,,,Store,25,8.7,6,30000,257833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250203C179,HCI,3-Feb-2025,CDELC,BK8135LM,Medan,Sumatera Utara,,,Customer,23,9.1,13,85500,313333.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250203C213,FBI,3-Feb-2025,PICKUP,BK8136LM,Medan,Sumatera Utara,,,Customer,8,1.76,5,75000,150666.67,,Medan,MINI VAN BOX,Internal,Sumatera UtaraMedanMINI VAN BOX,DALAM KOTA,,2,REGULAR,,
250203C176,HCI,3-Feb-2025,CDELC,BK8807MH,Binjai,Sumatera Utara,,,Customer,8,8.69,6,406000,582100.0,,Binjai,CDE,Internal,Sumatera UtaraBinjaiCDE,DALAM KOTA,,2,REGULAR,,
250203L065,HCI,3-Feb-2025,CDELC,BK8146LM,Medan,Sumatera Utara,,,Store,32,9.91,10,45000,126450.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250203L079,HCI,3-Feb-2025,CDELC,BK8031LM,Medan,Sumatera Utara,,,Store,46,7.16,9,44000,138833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250203C177,HCI,3-Feb-2025,CDELC,BK8805MH,Medan,Sumatera Utara,,,Customer,6,8.47,6,71500,393750.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250202C141,HCI,2-Feb-2025,CDELC,BK8172LM,Medan,Sumatera Utara,,,Customer,4,7.23,11,78000,602100.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205C152,HCI,5-Feb-2025,CDELC,BK8807MH,Medan,Sumatera Utara,,,Customer,5,8.4,13,25000,252833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205L048,HCI,5-Feb-2025,CDELC,BK8023LM,Medan,Sumatera Utara,,,Store,9,7.39,7,126000,353833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205C172,FBI,5-Feb-2025,PICKUP,BK8136LM,Medan,Sumatera Utara,,,Customer,6,1.96,4,54000,147574.4,,Medan,MINI VAN BOX,Internal,Sumatera UtaraMedanMINI VAN BOX,DALAM KOTA,,2,REGULAR,,
250205C238,HCI,5-Feb-2025,CDELC,BK8192MQ,Medan,Sumatera Utara,,,Customer,1,8,8,30000,111450.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205C001,HCI,5-Feb-2025,CDELC,BK8009MI,Medan,Sumatera Utara,,,Customer,12,9.36,8,67000,352633.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205C148,HCI,5-Feb-2025,CDELC,BK8135LM,Medan,Sumatera Utara,,,Customer,17,8.24,9,45000,249933.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250205L066,HCI,5-Feb-2025,CDELC,BK8112LM,Medan,Sumatera Utara,,,Store,50,8.71,12,40000,244933.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
